candidate_id,name,normalised_name,n_runs,parties,constituencies,dynasty_flag,notes
rana-farman-ali,Rana Farman Ali,rana farman ali,4,"Independent, PML-N","GBA-13, GBA-8",False,
amjad-hussain-azar,Amjad Hussain Azar,amjad hussain azar,3,PPP,"GBA-1, GBA-4",False,
imran-nadeem,Imran Nadeem,imran nadeem,3,PPP,GBA-12,False,
abdul-hameed-khan,Abdul Hameed Khan,abdul hameed khan,3,PPP,GBA-13,False,
khalid-khurshid,Khalid Khurshid,khalid khurshid,3,"Independent, PTI",GBA-13,False,
jamil-ahmad,Jamil Ahmad,jamil ahmad,3,PPP,GBA-2,False,
gulbar-khan,Gulbar Khan,gulbar khan,3,"JUI-F, PTI",GBA-18,False,
aftab-haider,Aftab Haider,aftab haider,3,PPP,GBA-3,False,
mehdi-shah,Syed Mehdi Shah,mehdi shah,3,PPP,GBA-7,False,
ghulam-abbas,Ghulam Abbas,ghulam abbas,3,"Independent, PML-N","GBA-10, GBA-13",False,
dilbar-khan,Dilbar Khan,dilbar khan,3,"PPP, PTI","GBA-16, GBA-17, GBA-18",False,
amina-bibi-ansari,Amina Bibi Ansari,amina bibi ansari,3,PTI,"GBA-22, GBA-23",False,
muhammad-hassan,Muhammad Hassan,muhammad hassan,2,"MQM, PML-Q","GBA-12, GBA-4",False,
ali-madad-sher,Ali Madad Sher,ali madad sher,2,PPP,GBA-20,False,
janbaz-khan,Janbaz Khan,janbaz khan,2,PML-N,GBA-16,False,
hafeezur-rehman,Hafiz Hafeezur Rehman,hafeezur rehman,2,PML-N,GBA-2,False,
zulfiqar-ali-murad,Zulfiqar Ali Murad,zulfiqar ali murad,2,PPP,GBA-5,False,
prince-sher-yar-khan,Prince Sher Yar Khan,prince sher yar khan,2,"PML-N, PML-Q","GBA-6, GBA-7",False,
fida-hussain,Fida Hussain,fida hussain,2,"Independent, PML-N",GBA-4,False,
nasir-ali-khan,Raja Nasir Ali Khan,nasir ali khan,2,"Independent, MWM",GBA-10,False,
jafarullah-khan,Jafarullah Khan,jafarullah khan,2,PML-N,GBA-1,False,
wazir-hassan,Wazir Hassan,wazir hassan,2,"PPP, PTI",GBA-10,False,
amjad-ali-zaidi,Syed Amjad Ali Zaidi,amjad ali zaidi,2,PTI,GBA-11,False,
abbas-almosvi,Syed Abbas Almosvi,abbas almosvi,2,APML,"GBA-10, GBA-9",False,
manzoor-hussain,Manzoor Hussain,manzoor hussain,2,"Independent, PML-N","GBA-10, GBA-24",False,
noor-muhammad,Noor Muhammad,noor muhammad,2,Independent,GBA-6,False,
muhammad-ali-shah,Syed Muhammad Ali Shah,muhammad ali shah,2,"Independent, PML-N",GBA-8,False,
muhammad-ayub-shah,Muhammad Ayub Shah,muhammad ayub shah,2,"Independent, PPP",GBA-21,False,
rehmat-khaliq,Rehmat Khaliq,rehmat khaliq,2,JUI-F,GBA-17,False,
muhammad-ali-akhtar,Muhammad Ali Akhtar,muhammad ali akhtar,2,"Independent, PPP",GBA-4,False,
barkat-jamil,Barkat Jamil,barkat jamil,2,PML-N,"GBA-14, GBA-17",False,
mirza-hussain,Mirza Hussain,mirza hussain,2,"PML-Q, PTI",GBA-5,False,
muhammad-azam-khan,Raja Muhammad Azam Khan,muhammad azam khan,2,"MQM, PML-N",GBA-12,False,
shah-baig,Haji Shah Baig,shah baig,2,"Independent, JUI-F",GBA-15,False,
nadir-khan,Nadir Khan,nadir khan,2,"Independent, PAT","GBA-20, GBA-21",False,
ghulam-muhammad,Ghulam Muhammad,ghulam muhammad,2,PML-N,GBA-21,False,
abdul-khaliq,Abdul Khaliq,abdul khaliq,2,"Independent, MQM","GBA-20, GBA-21",False,
muhammad-iqbal,Doctor Muhammad Iqbal,muhammad iqbal,2,"Independent, PML-N",GBA-3,False,
mohammad-ismail,Engr Mohammad Ismail,mohammad ismail,2,PPP,GBA-24,False,
mohammad-shafiq,Mohammad Shafiq,mohammad shafiq,2,"PML-N, PML-Q","GBA-24, GBA-3",False,
faqeer-shah,Faqeer Shah,faqeer shah,2,"ITP, Independent",GBA-2,False,
abdul-aziz,Abdul Aziz,abdul aziz,2,Independent,"GBA-16, GBA-17",False,
m-akbar-khan,M. Akbar Khan,m akbar khan,2,"PML-N, PML-Q","GBA-20, GBA-7",False,
rizwan-ali,Doctor Rizwan Ali,rizwan ali,2,MWM,GBA-5,False,
kacho-imtiaz-haider-khan,Kacho Imtiaz Haider Khan,kacho imtiaz haider khan,2,"MWM, PTI","GBA-17, GBA-8",False,
fida-muhammad-nashad,Fida Muhammad Nashad,fida muhammad nashad,2,"PML-N, PTI",GBA-9,False,
wazir-muhammad-saleem,Wazir Muhammad Saleem,wazir muhammad saleem,2,"MWM, PTI",GBA-9,False,
mohammad-abbas-rizvi,Syed Mohammad Abbas Rizvi,mohammad abbas rizvi,2,ITP,"GBA-8, GBA-9",False,
sher-ghazi,Sher Ghazi,sher ghazi,2,"Independent, PTI",GBA-3,False,
muzaffar-hussain,Muzaffar Hussain,muzaffar hussain,2,"APML, Independent","GBA-11, GBA-7",False,
nawaz-khan-naji,Nawaz Khan Naji,nawaz khan naji,2,BNF-N,GBA-19,False,
fatehullah-khan,Fatehullah Khan,fatehullah khan,2,PTI,GBA-2,False,
attaullah,Attaullah,attaullah,2,Independent,GBA-16,False,
abdul-karim,Abdul Karim,abdul karim,1,MQM,GBA-5,False,
altaf-hussain,Altaf Hussain,altaf hussain,1,MQM,GBA-2,False,
muhammad-abdullah,Mufti Muhammad Abdullah,muhammad abdullah,1,PML-N,GBA-23,False,
muhammad-jaffer,Muhammad Jaffer,muhammad jaffer,1,PPP,GBA-22,False,
muhammad-naseer,Muhammad Naseer,muhammad naseer,1,PPP,GBA-14,False,
prince-barkat-ali,Prince Barkat Ali,prince barkat ali,1,Independent,GBA-5,False,
kalb-ali,Kalb Ali,kalb ali,1,Independent,GBA-5,False,
fida-ali,Fida Ali,fida ali,1,Independent,GBA-4,False,
muhammad-aslam,Muhammad Aslam,muhammad aslam,1,PML-Q,GBA-2,False,
raziuddin-rizvi,Syed Raziuddin Rizvi,raziuddin rizvi,1,Independent,GBA-1,False,
karam-ali-shah,Karam Ali Shah,karam ali shah,1,PPP,GBA-19,False,
deedar-ali,Deedar Ali,deedar ali,1,Independent,GBA-2,False,
shujaat-hussain-mesam,Shujaat Hussain Mesam,shujaat hussain mesam,1,MWM,GBA-11,False,
iqbal-hassan,Iqbal Hassan,iqbal hassan,1,PML-N,GBA-11,False,
ali-hassan,Ali Hassan,ali hassan,1,MQM,GBA-10,False,
najaf-ali,Najaf Ali,najaf ali,1,PTI,GBA-10,False,
jalil-haider,Jalil Haider,jalil haider,1,Independent,GBA-10,False,
nizam-ud-din-shah,Syed Nizam Ud Din Shah,nizam ud din shah,1,Independent,GBA-1,False,
muhammad-ilyas-siddiqui,Muhammad Ilyas Siddiqui,muhammad ilyas siddiqui,1,MWM,GBA-1,False,
capt-r-sikander,Capt. (r) Sikander,capt (r) sikander,1,ITP,GBA-10,False,
shahbaz-khan,Raja Shahbaz Khan,shahbaz khan,1,Independent,GBA-6,False,
rehmatullah-baig,Rehmatullah Baig,rehmatullah baig,1,PML-Q,GBA-6,False,
fida-muhammad-nishad,Fida Muhammad Nishad,fida muhammad nishad,1,Independent,GBA-7,False,
zikria-maqpoon,Raja Zikria Maqpoon,zikria maqpoon,1,MQM,GBA-7,False,
sheikh-nisar,Sheikh Nisar,sheikh nisar,1,PPP,GBA-8,False,
ghulam-nabi,Ghulam Nabi,ghulam nabi,1,Independent,GBA-8,False,
nisar-khan,Nisar Khan,nisar khan,1,MQM,GBA-8,False,
wazir-shakeel,Wazir Shakeel,wazir shakeel,1,PPP,GBA-9,False,
sajjad-hussian,Sajjad Hussian,sajjad hussian,1,Independent,GBA-5,False,
wazir-baig,Wazir Baig,wazir baig,1,PPP,GBA-6,False,
arif-hussain,Arif Hussain,arif hussain,1,Independent,GBA-6,False,
kamil-jan,Kamil Jan,kamil jan,1,MQM,GBA-6,False,
wazir-hussain,Wazir Hussain,wazir hussain,1,PPP,GBA-10,False,
muhammad-ali-shah-rizvi,Syed Muhammad Ali Shah Rizvi,muhammad ali shah rizvi,1,PPP,GBA-11,False,
bashir-ahmed,Bashir Ahmed,bashir ahmed,1,PML-Q,GBA-15,False,
noshad-alam,Noshad Alam,noshad alam,1,PTI,GBA-15,False,
fida-ullah,Fida Ullah,fida ullah,1,PPP,GBA-15,False,
abid-hussain,Abid Hussain,abid hussain,1,PAT,GBA-12,False,
inayatullah,Inayatullah Mir,inayatullah,1,JUI-F,GBA-13,False,
sanaullah,Sanaullah,sanaullah,1,PTI,GBA-13,False,
atiq-ullah,Atiq Ullah,atiq ullah,1,PTI,GBA-17,False,
muhammad-wakeel,Muhammad Wakeel,muhammad wakeel,1,PML-N,GBA-18,False,
atta-ullah,Atta Ullah,atta ullah,1,Independent,GBA-17,False,
atiqullah,Atiqullah,atiqullah,1,PTI,GBA-16,False,
karim-khan,Karim Khan,karim khan,1,APML,GBA-2,False,
hafeez-ur-rehman,Hafiz Hafeez Ur Rehman,hafeez ur rehman,1,PML-N,GBA-2,False,
madad-shah,Syed Madad Shah,madad shah,1,APML,GBA-19,False,
badr-u-din,Badr-U-Din,badr u din,1,PPP,GBA-19,False,
niamat-shah,Niamat Shah,niamat shah,1,PTI,GBA-19,False,
zaffar-muhammad,Zaffar Muhammad,zaffar muhammad,1,Independent,GBA-19,False,
shakrat-khan,Shakrat Khan,shakrat khan,1,PPP,GBA-18,False,
shakeel-ahmad,Shakeel Ahmad,shakeel ahmad,1,PML-N,GBA-19,False,
sultan-madad,Sultan Madad,sultan madad,1,PML-N,GBA-20,False,
fida-khan,Fida Khan,fida khan,1,Independent,GBA-20,False,
atta-ur-rehman,Atta-ur-Rehman,atta ur rehman,1,PTI,GBA-20,False,
tariq-hussain,Tariq Hussain,tariq hussain,1,MQM,GBA-2,False,
shukat-alam,Shukat Alam,shukat alam,1,PAT,GBA-2,False,
moulana-mujahid,Moulana Mujahid,moulana mujahid,1,JUI-F,GBA-2,False,
muhammad-mazhar-abbas,Muhammad Mazhar Abbas,muhammad mazhar abbas,1,MWM,GBA-2,False,
parveen-ghazi,Parveen Ghazi,parveen ghazi,1,Independent,GBA-2,False,
muhammad-ibrahim-sanai,Muhammad Ibrahim Sanai,muhammad ibrahim sanai,1,PML-N,GBA-22,False,
muhammad-aziz,Muhammad Aziz,muhammad aziz,1,JUI-F,GBA-21,False,
jamsheed-khan,Jamsheed khan,jamsheed khan,1,APML,GBA-21,False,
jahanzaib,Raja Jahanzaib,jahanzaib,1,PTI,GBA-21,False,
noor-wali-khan,Noor Wali Khan,noor wali khan,1,APML,GBA-20,False,
zuhair-ahmad-khan,Zuhair Ahmad Khan,zuhair ahmad khan,1,MQM,GBA-23,False,
shereen-fatima,Shereen Fatima,shereen fatima,1,PPP,GBA-23,False,
ghulam-hussain,Ghulam Hussain,ghulam hussain,1,PML-N,GBA-23,False,
muhammad-ishaq-saqib,Muhammad Ishaq Saqib,muhammad ishaq saqib,1,MWM,GBA-24,False,
khadim-hussain,Khadim Hussain,khadim hussain,1,PAT,GBA-23,False,
muhammad-ali,Dr Muhammad Ali,muhammad ali,1,MWM,GBA-12,False,
ghulam-muhhamd-parvi,Ghulam Muhhamd Parvi,ghulam muhhamd parvi,1,Independent,GBA-11,False,
ghulam-akbar,Ghulam Akbar,ghulam akbar,1,MWM,GBA-13,False,
kazim-saleem,Kazim Saleem,kazim saleem,1,Independent,GBA-11,False,
akbar-shah,Syed Akbar Shah,akbar shah,1,ITP,GBA-11,False,
niaz-ali,Niaz Ali,niaz ali,1,PPP,GBA-11,False,
kashif-ali,Kashif Ali,kashif ali,1,PPP,GBA-4,False,
muhammad-ali-haidar,Doctor Muhammad Ali Haidar,muhammad ali haidar,1,ITP,GBA-4,False,
capt-rtd-hadi-hussain,Capt(Rtd.) Hadi Hussain,capt(rtd) hadi hussain,1,MQM,GBA-3,False,
saeed-ur-rehman,Saeed Ur Rehman,saeed ur rehman,1,JUI-F,GBA-3,False,
muhammad-shafi-khan,Muhammad Shafi Khan,muhammad shafi khan,1,ITP,GBA-3,False,
allama-nayyar-abbas-mustfavi,Allama Nayyar Abbas Mustfavi,allama nayyar abbas mustfavi,1,MWM,GBA-3,False,
prince-qasim-ali-khan,Prince Qasim Ali Khan,prince qasim ali khan,1,Independent,GBA-5,False,
muhammad-javid,Muhammad Javid,muhammad javid,1,PTI,GBA-4,False,
baba-jan,Baba Jan,baba jan,1,AWP,GBA-6,False,
zafar-iqbal,Zafar Iqbal,zafar iqbal,1,PPP,GBA-6,False,
sheikh-musa-karimi,Sheikh Musa Karimi,sheikh musa karimi,1,MWM,GBA-6,False,
izhar-hunzai,Izhar Hunzai,izhar hunzai,1,PTI,GBA-6,False,
sheikh-mirza-ali,Sheikh Mirza Ali,sheikh mirza ali,1,ITP,GBA-5,False,
muhammad-issa,Muhammad Issa,muhammad issa,1,APML,GBA-5,False,
ghazanfar-ali-khan,Mir Ghazanfar Ali Khan,ghazanfar ali khan,1,PML-N,GBA-6,False,
qalab-ali,Haji Qalab Ali,qalab ali,1,PML-N,GBA-5,False,
zahid-hussain,Zahid Hussain,zahid hussain,1,MWM,GBA-7,False,
gh-shehzad,"Gh, Shehzad Agha","gh, shehzad",1,ITP,GBA-7,False,
jalal-hussain-maqpoon,Raja Jalal Hussain Maqpoon,jalal hussain maqpoon,1,PTI,GBA-7,False,
aman-ullah,Aman Ullah,aman ullah,1,APML,GBA-6,False,
nisar-hussain-sarbaz,Nisar Hussain Sarbaz,nisar hussain sarbaz,1,PPP,GBA-8,False,
kamal-hussain,Kamal Hussain,kamal hussain,1,APML,GBA-7,False,
muhammad-zakir,Muhammad Zakir,muhammad zakir,1,PTI,GBA-8,False,
ghulam-raza-haidri,Ghulam Raza Haidri,ghulam raza haidri,1,PPP,GBA-9,False,
ali-kazim,Ali Kazim,ali kazim,1,PTI,GBA-9,False,
sultan-rais,Maulana Sultan Rais,sultan rais,1,Independent,GBA-1,False,
johar-ali,Johar Ali,johar ali,1,PTI,GBA-1,False,
muhsin-rizvi,Syed Muhsin Rizvi,muhsin rizvi,1,Independent,GBA-11,False,
azam-khan-amacha,Raja Azam Khan Amacha,azam khan amacha,1,PTI,GBA-12,False,
muhammad-tahir,Muhammad Tahir,muhammad tahir,1,PML-N,GBA-12,False,
shamsul-haq,Shamsul Haq,shamsul haq,1,PTI,GBA-14,False,
muzaffar-ali,Muzaffar Ali,muzaffar ali,1,PPP,GBA-14,False,
muhammad-dilpazir,Muhammad Dilpazir,muhammad dilpazir,1,Independent,GBA-15,False,
muhammad-anwar,Muhammad Anwar,muhammad anwar,1,PML-N,GBA-16,False,
malik-kifayat-ur-rehman,Malik Kifayat Ur Rehman,malik kifayat ur rehman,1,Independent,GBA-18,False,
jalal-ali-shah,Pir Jalal Ali Shah,jalal ali shah,1,PPP,GBA-19,False,
jamil-ahmed,Jamil Ahmed,jamil ahmed,1,PPP,GBA-2,False,
nasir,Nasir Mir,nasir,1,PML-Q,GBA-2,False,
ghulam-shah,Ghulam Shah,ghulam shah,1,Independent,GBA-2,False,
habib-ur-rehman,Habib ur Rehman,habib ur rehman,1,JI,GBA-2,False,
ashfaq-hussain,Ashfaq Hussain,ashfaq hussain,1,Independent,GBA-2,False,
nazir-ahmed,Nazir Ahmed,nazir ahmed,1,PTI,GBA-20,False,
nazir-ahmad,Nazir Ahmad,nazir ahmad,1,PTI,GBA-20,False,
m-ayub-shah,M. Ayub Shah,m ayub shah,1,PPP,GBA-21,False,
mushtaq-hussain,Mushtaq Hussain,mushtaq hussain,1,Independent,GBA-22,False,
m-ibrahim-sanai,M. Ibrahim Sanai,m ibrahim sanai,1,PTI,GBA-22,False,
abdul-hameed,Abdul Hameed,abdul hameed,1,Independent,GBA-23,False,
asif-advocate,Asif Advocate,asif advocate,1,Independent,GBA-23,False,
ghulam-ali-haideri,Ghulam Ali Haideri,ghulam ali haideri,1,PPP,GBA-23,False,
shams-ud-din,Syed Shams ud Din,shams ud din,1,PTI,GBA-24,False,
shamsuddin,Syed Shamsuddin,shamsuddin,1,PTI,GBA-24,False,
muhammad-ibrahim,Muhammad Ibrahim,muhammad ibrahim,1,PML,GBA-24,False,
sohail-abbas-shah,Syed Sohail Abbas Shah,sohail abbas shah,1,PTI,GBA-3,False,
zulfiqar-ali-tatu,Zulfiqar Ali Tatu,zulfiqar ali tatu,1,PML-N,GBA-3,False,
sanan-ahmad,Sanan Ahmad,sanan ahmad,1,Independent,GBA-3,False,
muhammad-nafees,Muhammad Nafees,muhammad nafees,1,Independent,GBA-3,False,
akbar-hussain,Maulana Akbar Hussain,akbar hussain,1,PSP,GBA-3,False,
muhammad-ayub,Muhammad Ayub,muhammad ayub,1,ITP,GBA-4,False,
javed-ali-manwa,Javed Ali Manwa,javed ali manwa,1,Independent,GBA-5,False,
abaid-ullah-baig,Abaid Ullah Baig,abaid ullah baig,1,PTI,GBA-6,False,
muhammad-zakaria-khan-maqpoon,Raja Muhammad Zakaria Khan Maqpoon,muhammad zakaria khan maqpoon,1,PTI,GBA-7,False,
zakarya-maqoon,Raja Zakarya Maqoon,zakarya maqoon,1,PTI,GBA-7,False,
muhammad-maisam-kazim,Muhammad Maisam Kazim,muhammad maisam kazim,1,MWM,GBA-8,False,
m-ali-shah,Syed M. Ali Shah,m ali shah,1,PPP,GBA-8,False,
